family,segments,component,FP32_MW_per_deg,FP64_MW_per_deg,absolute_error_MW_per_deg
T1,3,12,0.00034963616053573787,0.00035256375362028154,2.9275930845436694e-06
T1,3,13,0.002137095434591174,0.0021379665982293114,8.711636381372734e-07
T1,3,14,0.00024589814711362123,0.00024600320911237635,1.0506199875511511e-07
T1,3,15,0.0013884288491681218,0.0013865250963798791,1.9037527882426967e-06
T1,3,16,0.00043684375123120844,0.0004368485691951452,4.8179639367722585e-09
T1,3,17,0.00043594237649813294,0.0004360755195290893,1.331430309563621e-07
T1,3,18,0.0008269193349406123,0.000826885862554463,3.347238614927195e-08
T1,3,19,-0.0005609137588180602,-0.000560925874386539,1.2115568478804004e-08
T1,3,20,-0.0004321224114391953,-0.00043214016261194937,1.7751172754095195e-08
T1,3,21,-0.00032363529317080975,-0.0003236194296281531,1.5863542656671843e-08
T1,3,22,-0.000740203307941556,-0.0007402281286189667,2.4820677410738665e-08
T1,3,23,6.067202775739133e-06,6.039987724395493e-06,2.7215051343640415e-08
T1,3,24,-0.00027579840389080346,-0.00027576152836664386,3.687552415959812e-08
T1,3,25,-6.611835851799697e-05,-6.612085014575804e-05,2.4916277610749753e-09
T1,3,26,0.0001937306806212291,0.00019386072286785145,1.3004224662233857e-07
T1,3,27,-0.0006559963221661747,-0.0006560311574339826,3.483526780792903e-08
T2,2,1,-0.0018248929409310222,-0.00182751120069858,2.618259767557746e-06
T2,2,2,-0.0010750272776931524,-0.0010722460525478719,2.7812251452805515e-06
T2,2,3,0.00680107157677412,0.006800367659325291,7.039174488290487e-07
T2,2,4,-0.001072195591405034,-0.0010721660326085077,2.955879652632651e-08
T2,2,5,-0.0006093998090364039,-0.0006103407892235134,9.409801871094851e-07
T2,2,6,0.0020458060316741467,0.0020438169570930267,1.9890745811199095e-06
T2,2,7,-0.00045736675383523107,-0.0004573363844269871,3.036940824394183e-08
T2,2,8,-0.0003616096219047904,-0.000361595951110234,1.3670794556390649e-08
T2,2,9,-0.0005238570156507194,-0.0005238760587349837,1.9043084264320186e-08
T2,2,10,-0.00032330170506611466,-0.00032326694311607407,3.4761950040598615e-08
T2,2,11,0.001868020393885672,0.001868008284618054,1.2109267618146125e-08
T2,2,12,-0.0013894416624680161,-0.0013908100436042163,1.3683811362001468e-06
T2,2,13,-0.0008373301825486124,-0.0008370286937416123,3.014888070000535e-07
T2,2,14,-7.917275070212781e-05,-7.908307343156755e-05,8.967727056026411e-08
T2,2,15,-0.002425599377602339,-0.0024250487526681764,5.506249341623477e-07
T2,2,16,0.00031419371953234076,0.00031420919647343564,1.5476941094872982e-08
T2,2,17,4.2400468373671174e-05,4.2486003306678905e-05,8.553493300773071e-08
T2,2,18,-0.000188539270311594,-0.00018808862045213576,4.5064985945824916e-07
T2,3,1,-0.0018325136043131351,-0.001835119277223588,2.6056729104527616e-06
T2,3,2,-0.001076999818906188,-0.0010742314551754712,2.7683637307167677e-06
T2,3,3,0.006787579040974379,0.006786898578393134,6.804625812444412e-07
T2,3,4,-0.0010722096776589751,-0.0010721822174989022,2.7460160072906303e-08
T2,3,5,-0.0006097215227782726,-0.0006106627817212195,9.412589429469084e-07
T2,3,6,0.002046362729743123,0.0020443539669140285,2.008762829094554e-06
T2,3,7,-0.00045733089791610837,-0.00045730055104051595,3.034687559241595e-08
T2,3,8,-0.0003616471658460796,-0.0003616335573733265,1.360847275307369e-08
T2,3,9,-0.000523866736330092,-0.0005238855963832393,1.8860053147364865e-08
T2,3,10,0.001962486654520035,0.001962551958627249,6.530410721428473e-08
T2,3,11,0.00386477867141366,0.003864778359691734,3.117219260495574e-10
T2,3,12,0.0007361880270764232,0.0007348171248880475,1.3709021883756512e-06
T2,3,13,0.0019888528622686863,0.001989291694550817,4.3883228213054126e-07
T2,3,14,0.0009407281177118421,0.0009408913625482899,1.6324483644784664e-07
T2,3,15,-0.00046867996570654213,-0.0004680498397493994,6.301259571427184e-07
T2,3,16,0.000610418850556016,0.0006104637995013084,4.494894529239596e-08
T2,3,17,0.00022379662550520152,0.0002239029575823506,1.0633207714907901e-07
T2,3,18,0.0007409462705254555,0.0007409502865264027,4.016000947266486e-09
T2,3,19,-0.002513121347874403,-0.002513144546400834,2.3198526431008476e-08
T2,3,20,-0.002196773188188672,-0.002196796226418182,2.3038229509872443e-08
T2,3,21,-0.002324766479432583,-0.0023247832310821543,1.675164957139555e-08
T2,3,22,-0.003047313541173935,-0.003047453093964291,1.3955279035615317e-07
T2,3,23,-0.0011004561092704535,-0.001100552252003677,9.614273322345462e-08
T2,3,24,-0.002109980909153819,-0.002110087892288558,1.0698313473870083e-07
T2,3,25,-0.0004170126630924642,-0.00041703358378131233,2.0920688848121132e-08
T2,3,26,-0.00024436929379589856,-0.0002443954737255184,2.6179929619844517e-08
T2,3,27,-0.0010650346521288157,-0.0010645845053109278,4.501468178878549e-07
