family,arm,case,time_s,net_difference_kwh
T1,MPC,dir_m2,120,0.0
T1,MPC,dir_m2,140,0.0
T1,MPC,dir_m2,160,0.0
T1,MPC,dir_m2,180,0.0
T1,MPC,dir_m2,200,-0.9335771774553061
T1,MPC,dir_m2,220,-1.1408850906497505
T1,MPC,dir_m2,240,-1.5083646375247506
T1,MPC,dir_m2,260,-1.9208893371775284
T1,MPC,dir_m2,280,-1.8648386218997506
T1,MPC,dir_m2,300,-1.8964720628719727
T1,MPC,dir_m2,320,-1.9476257764136395
T1,MPC,dir_m2,340,-2.0366543441219727
T1,MPC,dir_m2,360,-1.9838715125247504
T1,MPC,dir_m2,380,-1.8346345837053062
T1,MPC,dir_m2,400,-3.3300815928002194
T1,MPC,dir_m2,420,-4.3633510025224425
T1,MPC,dir_m2,440,-5.559457818494664
T1,MPC,dir_m2,460,-7.204991210855775
T1,MPC,dir_m2,480,-8.418029867105776
T1,MPC,dir_m2,500,-9.938517509466887
T1,MPC,dir_m2,520,-11.600679113633554
T1,MPC,dir_m2,540,-11.92507363793911
T1,MPC,dir_m2,560,-13.303454641411331
T1,MPC,dir_m2,580,-11.374720485161333
T1,MPC,dir_m2,600,-10.60999251952709
T1,MPC,dir_m2,620,-11.040149363277092
T1,MPC,dir_m2,640,-12.817498457027092
T1,MPC,dir_m2,660,-12.98481371744376
T1,MPC,dir_m2,680,-14.129213929249314
T1,MPC,dir_m2,700,-12.71962635980487
T1,MPC,dir_m2,720,-12.065362877165978
T1,MPC,dir_m2,740,-8.819732498693757
T1,MPC,dir_m2,760,-5.735082825082646
T1,MPC,dir_m2,780,-4.7484593563326465
T1,MPC,dir_m2,800,-5.9926357262281575
T1,MPC,dir_m2,820,-3.713026281783713
T1,MPC,dir_m2,840,-6.225436344283714
T1,MPC,dir_m2,860,-8.932509760950381
T1,MPC,dir_m2,880,-11.109982160255935
T1,MPC,dir_m2,900,-12.001621556089269
T1,MPC,dir_m2,920,-12.311930618589269
T1,MPC,dir_m2,940,-14.960720337339268
T1,MPC,dir_m2,960,-15.63843352657538
T1,MPC,dir_m2,980,-14.901531627269826
T1,MPC,dir_m2,1000,-16.934021867429603
T1,MPC,dir_m2,1020,-12.11915522506849
T1,MPC,dir_m2,1040,-11.967122912568492
T1,MPC,dir_m2,1060,-10.23305591256849
T1,MPC,dir_m2,1080,-9.772608811874047
T1,MPC,dir_m2,1100,-8.688085117429601
T1,MPC,dir_m2,1120,-3.3573189924296005
T1,MPC,dir_m2,1140,0.7394041082648437
T1,MPC,dir_m2,1160,2.6317734277092883
T1,MPC,dir_m2,1180,5.309403861737066
T1,MPC,dir_m2,1200,8.614399788726303
T1,MPC,dir_m2,1220,9.646727257476304
T1,MPC,dir_m2,1240,10.264503444976304
T1,MPC,dir_m2,1260,9.649561856434637
T1,MPC,dir_m2,1280,9.608740192372137
T1,MPC,dir_m2,1300,8.54873891633047
T1,MPC,dir_m2,1320,8.474847536122137
T1,MPC,dir_m2,1340,10.66371822709436
T1,MPC,dir_m2,1360,9.748540362511028
T1,MPC,dir_m2,1380,9.999610714073526
T1,MPC,dir_m2,1400,10.63717253006016
T1,MPC,dir_m2,1420,11.017924807837936
T1,MPC,dir_m2,1440,10.00737434429627
T1,MPC,dir_m2,1460,8.814089461483771
T1,MPC,dir_m2,1480,7.061340957143493
T1,MPC,dir_m2,1500,6.277027214087937
T1,MPC,dir_m2,1520,6.6913457366573805
T1,MPC,dir_m2,1540,8.97728048492127
T1,MPC,dir_m2,1560,9.143057976240714
T1,MPC,dir_m2,1580,8.148595754018492
T1,MPC,dir_m2,1600,6.550739327167856
T1,MPC,dir_m2,1620,5.974699525084523
T1,MPC,dir_m2,1640,4.218828733417855
T1,MPC,dir_m2,1660,3.371555589320634
T1,MPC,dir_m2,1680,2.7878199365428555
T1,MPC,dir_m2,1700,2.5124821691817454
T1,MPC,dir_m2,1720,2.7551049417511893
T1,MPC,dir_m2,1740,3.8855365433136893
T1,MPC,dir_m2,1760,5.424291850605357
T1,MPC,dir_m2,1780,5.229815134459523
T1,MPC,dir_m2,1800,3.172345384660006
T1,MPC,dir_m2,1820,3.314935570423896
T1,MPC,dir_m2,1840,3.40441598361834
T1,MPC,dir_m2,1860,2.9007369271947274
T1,MPC,dir_m2,1880,2.847904788305839
T1,MPC,dir_m2,1900,2.7468604324030617
T1,MPC,dir_m2,1920,4.2810472587919515
T1,MPC,dir_m2,1940,7.3636160704238955
T1,MPC,dir_m2,1960,8.219217066951675
T1,MPC,dir_m2,1980,9.636911066951672
T1,MPC,dir_m2,2000,12.824581714521116
T1,MPC,dir_m2,2020,16.104869485354453
T1,MPC,dir_m2,2040,17.588156811743342
T1,MPC,dir_m2,2060,17.68039385688223
T1,MPC,dir_m2,2080,17.236072329104452
T1,MPC,dir_m2,2100,19.326369281361398
T1,MPC,dir_m2,2120,20.352766506187784
T1,MPC,dir_m2,2140,19.461537671118343
T1,MPC,dir_m2,2160,18.604737973201672
T1,MPC,dir_m2,2180,19.59443370236834
T1,MPC,dir_m2,2200,19.3703414610489
T1,MPC,dir_m2,2220,17.976052504451673
T1,MPC,dir_m2,2240,16.743481967125284
T1,MPC,dir_m2,2260,14.764269694555843
T1,MPC,dir_m2,2280,13.254884906361397
T1,lookup,dir_m2,0,0.0
T1,lookup,dir_m2,20,0.0
T1,lookup,dir_m2,40,0.0
T1,lookup,dir_m2,60,0.0
T1,lookup,dir_m2,80,0.0
T1,lookup,dir_m2,100,0.0
T1,lookup,dir_m2,120,0.0
T1,lookup,dir_m2,140,0.0
T1,lookup,dir_m2,160,0.0
T1,lookup,dir_m2,180,0.0
T1,lookup,dir_m2,200,-1.1022673189866807
T1,lookup,dir_m2,220,-3.0304156364237467
T1,lookup,dir_m2,240,-6.152331613715278
T1,lookup,dir_m2,260,-9.48227074392361
T1,lookup,dir_m2,280,-11.5551309609375
T1,lookup,dir_m2,300,-13.468379546006945
T1,lookup,dir_m2,320,-15.189310212673611
T1,lookup,dir_m2,340,-16.401245410590278
T1,lookup,dir_m2,360,-17.010477296006947
T1,lookup,dir_m2,380,-17.11319235677083
T1,lookup,dir_m2,400,-18.95898999565972
T1,lookup,dir_m2,420,-21.104638881076387
T1,lookup,dir_m2,440,-24.00513816232639
T1,lookup,dir_m2,460,-27.392015578993057
T1,lookup,dir_m2,480,-27.356456124131945
T1,lookup,dir_m2,500,-28.164708464409724
T1,lookup,dir_m2,520,-28.930825370659726
T1,lookup,dir_m2,540,-27.20015558940972
T1,lookup,dir_m2,560,-28.08939539149306
T1,lookup,dir_m2,580,-25.321867315104168
T1,lookup,dir_m2,600,-23.11008351263258
T1,lookup,dir_m2,620,-21.197996641104805
T1,lookup,dir_m2,640,-20.535480547354805
T1,lookup,dir_m2,660,-19.8474329848548
T1,lookup,dir_m2,680,-18.90701071749369
T1,lookup,dir_m2,700,-14.297160752215916
T1,lookup,dir_m2,720,-10.998816714021473
T1,lookup,dir_m2,740,-8.101556457077027
T1,lookup,dir_m2,760,-3.8305834119381377
T1,lookup,dir_m2,780,-2.7848838320770266
T1,lookup,dir_m2,800,-1.274500477522108
T1,lookup,dir_m2,820,0.966825098866781
T1,lookup,dir_m2,840,-4.0197626198832195
T1,lookup,dir_m2,860,-7.331104619883218
T1,lookup,dir_m2,880,-9.017553484466553
T1,lookup,dir_m2,900,-8.580027317799887
T1,lookup,dir_m2,920,-8.343623269188775
