cell,family,segments,updates,time_s,cumulative_net_difference_kwh,farm_MW,noyaw_MW
OC-73090801__T2,T2,1,1,20,0.0,8.6411539375,8.6411539375
OC-73090801__T2,T2,1,1,40,0.0,8.994719875,8.994719875
OC-73090801__T2,T2,1,1,60,0.0,9.78346778125,9.78346778125
OC-73090801__T2,T2,1,1,80,0.0,10.7587421875,10.7587421875
OC-73090801__T2,T2,1,1,100,0.0,10.1047601875,10.1047601875
OC-73090801__T2,T2,1,1,120,0.0,9.88065646875,9.88065646875
OC-73090801__T2,T2,1,1,140,0.0,8.5016530625,8.5016530625
OC-73090801__T2,T2,1,1,160,0.0,8.6846974375,8.6846974375
OC-73090801__T2,T2,1,1,180,0.0,9.2467648125,9.2467648125
OC-73090801__T2,T2,1,1,200,-0.22356061514621312,8.5869063125,8.58301784375
OC-73090801__T2,T2,1,1,220,-0.2630106325073242,10.29679928125,10.31616759375
OC-73090801__T2,T2,1,1,240,-0.26829826271565754,10.745769625,10.744485375
OC-73090801__T2,T2,1,1,260,-0.272777504035102,9.8718543125,9.87600459375
OC-73090801__T2,T2,1,1,280,-0.25672798320176865,9.379102375,9.3771780625
OC-73090801__T2,T2,1,1,300,-0.31513715334065756,8.65800625,8.66842525
OC-73090801__T2,T2,1,1,320,-0.4206224328545465,9.28113409375,9.3030125
OC-73090801__T2,T2,1,1,340,-0.507287300910102,10.021799125,10.0382969375
OC-73090801__T2,T2,1,1,360,-0.5359462800767687,11.01844725,11.00823775
OC-73090801__T2,T2,1,1,380,-0.3044245231323242,10.3494035,10.3039554375
OC-73090801__T2,T2,1,1,400,-0.33294041088072457,9.610601375,9.6321400625
OC-73090801__T2,T2,1,1,420,-0.5948353761585023,10.19483759375,10.251772875
OC-73090801__T2,T2,1,1,440,-0.6608210046307246,10.5468536875,10.55151275
OC-73090801__T2,T2,1,1,460,-0.8229118796307247,10.6799529375,10.691381625
OC-73090801__T2,T2,1,1,480,-0.9085593188668357,9.4617355625,9.4973703125
OC-73090801__T2,T2,1,1,500,-0.9522846921307246,9.14517134375,9.1422416875
OC-73090801__T2,T2,1,1,520,-1.0936867754640578,9.4497386875,9.51368515625
OC-73090801__T2,T2,1,1,540,-0.9842893327557246,9.6268961875,9.58223553125
OC-73090801__T2,T2,1,1,560,-0.8826262285890579,11.76504859375,11.79844284375
OC-73090801__T2,T2,1,1,580,-0.7852666487279468,12.70015628125,12.629571875
OC-73090801__T2,T2,1,1,600,-0.8922228806480832,12.754323375,12.76786871875
OC-73090801__T2,T2,1,1,620,-0.8031364657175276,12.10413840625,12.10238996875
OC-73090801__T2,T2,1,1,640,-0.6973139535647499,13.512683375,13.4107009375
OC-73090801__T2,T2,1,1,660,0.3619163363658058,15.9067329375,15.714194875
OC-73090801__T2,T2,1,1,680,1.0041429457408058,15.3551563125,15.32205875
OC-73090801__T2,T2,1,1,700,1.5312630846296946,15.4260484375,15.2922630625
OC-73090801__T2,T2,1,1,720,2.4457920811574727,13.8320589375,13.6961591875
OC-73090801__T2,T2,1,1,740,2.800349619351917,13.7731228125,13.67218625
OC-73090801__T2,T2,1,1,760,3.4818297443519173,14.1948134375,14.067286875
OC-73090801__T2,T2,1,1,780,4.125548025601917,15.219666375,15.066776375
OC-73090801__T2,T2,1,1,800,4.940100166424965,15.060933375,14.894612
OC-73090801__T2,T2,1,1,820,5.769938888647186,13.9710326875,13.768676375
OC-73090801__T2,T2,1,1,840,6.783674069202741,14.5743538125,14.4631510625
OC-73090801__T2,T2,1,1,860,7.308051048369408,14.4246448125,14.3565565
OC-73090801__T2,T2,1,1,880,7.841289537952741,15.0006841875,14.884876875
