run,family,arm,turbine,nominal_mean_MW,refined_mean_MW,absolute_relative_difference_percent,tolerance_percent,within_tolerance
cubic_Fourier_T1,T1,no_yaw,3,1.5801572849999999,1.5736178156547618,0.4155690969040708,5,True
cubic_Fourier_T1,T1,no_yaw,4,0.8796649968452381,0.8874545629017857,0.8777425213835583,5,True
cubic_Fourier_T1,T1,no_yaw,5,0.6831623435267857,0.6951112845238095,1.7189968373495093,5,True
cubic_Fourier_T1,T1,no_yaw,6,0.6788786439880953,0.7043090019345238,3.610681941673198,5,True
cubic_Fourier_T1,T1,no_yaw,7,0.8267744575669643,0.8111933040252977,1.9207694965367685,5,True
cubic_Fourier_T1,T1,no_yaw,8,0.7568989054315477,0.739007394389881,2.4210192181416303,5,True
cubic_Fourier_T1,T1,no_yaw,9,0.6957759676636904,0.7410510934672618,6.109582214059791,5,False
cubic_Fourier_T1,T1,prescribed_yaw,1,1.714351185952381,1.706588522827381,0.45486436953995296,5,True
cubic_Fourier_T1,T1,prescribed_yaw,2,1.602049635595238,1.5955490052380954,0.40742279527620756,5,True
cubic_Fourier_T1,T1,prescribed_yaw,3,1.5221110971130953,1.5163936709226191,0.37704102174190124,5,True
cubic_Fourier_T1,T1,prescribed_yaw,4,0.9343783305208334,0.9522735079315476,1.879205633850372,5,True
cubic_Fourier_T1,T1,prescribed_yaw,5,0.69710066875,0.7094235407738095,1.7370260945060143,5,True
cubic_Fourier_T1,T1,prescribed_yaw,6,0.7349173665625001,0.7607893680803571,3.4006786376547247,5,True
cubic_Fourier_T1,T1,prescribed_yaw,7,0.8497621359375,0.8288428106994048,2.5239194896850026,5,True
cubic_Fourier_T1,T1,prescribed_yaw,8,0.758716248764881,0.7201664932291667,5.352894906684746,5,False
cubic_Fourier_T1,T1,prescribed_yaw,9,0.7226871258333334,0.7554513637053571,4.337041330009779,5,True
cubic_Fourier_T2,T2,no_yaw,1,1.9654398886904763,1.9591048161309526,0.32336567739315925,5,True
cubic_Fourier_T2,T2,no_yaw,2,1.6609711875595239,1.6539448273809525,0.4248243388927174,5,True
cubic_Fourier_T2,T2,no_yaw,3,1.67722337875,1.6742782386904762,0.17590505517334254,5,True
cubic_Fourier_T2,T2,no_yaw,4,0.9821886197916666,1.0017043867410715,1.9482561130531852,5,True
cubic_Fourier_T2,T2,no_yaw,5,0.6709842428720239,0.6874560991517857,2.396059370203508,5,True
cubic_Fourier_T2,T2,no_yaw,6,0.7987283893898809,0.8092461765476191,1.2997018042901078,5,True
cubic_Fourier_T2,T2,no_yaw,7,0.8729354337351191,0.8272133125,5.5272467867977,5,False
cubic_Fourier_T2,T2,no_yaw,8,0.7894422915327381,0.7489610350892857,5.404988316732199,5,False
cubic_Fourier_T2,T2,no_yaw,9,0.6691432998660715,0.7048426563839286,5.064868902941608,5,False
cubic_Fourier_T2,T2,prescribed_yaw,1,1.8562675480357143,1.8502304839880952,0.32628713556844874,5,True
cubic_Fourier_T2,T2,prescribed_yaw,2,1.5817928250892856,1.5747299213988095,0.4485152402643324,5,True
cubic_Fourier_T2,T2,prescribed_yaw,3,1.5866593930952382,1.5845780574404762,0.1313495188822567,5,True
cubic_Fourier_T2,T2,prescribed_yaw,4,1.0646192651488093,1.0927484145684523,2.574165200756821,5,True
cubic_Fourier_T2,T2,prescribed_yaw,5,0.7104746303869048,0.7253681987797619,2.0532425350203583,5,True
cubic_Fourier_T2,T2,prescribed_yaw,6,0.8783168748214285,0.8917907608035714,1.510879746051852,5,True
cubic_Fourier_T2,T2,prescribed_yaw,7,0.8889886689880953,0.8524191034970238,4.290092202420839,5,True
cubic_Fourier_T2,T2,prescribed_yaw,8,0.7915295178422619,0.7296595027827381,8.47929956693049,5,False
cubic_Fourier_T2,T2,prescribed_yaw,9,0.7285801367410715,0.7399857592113095,1.5413299956467186,5,True
