family,time_s,turbine,row,MPC_disk_normal_m_s,NOYAW_disk_normal_m_s,MPC_filtered_disk_m_s,NOYAW_filtered_disk_m_s,delta_filtered_disk_m_s,yaw_deg
T1,1280,4,2,3.5512256622314453,3.4362800121307373,3.5308051109313965,3.384951114654541,0.14585399627685547,7.446970462799072
T1,1280,5,2,3.895495891571045,3.8892691135406494,3.956972599029541,3.9498345851898193,0.00713801383972168,-0.930351734161377
T1,1280,6,2,3.79610276222229,3.948910713195801,3.8075220584869385,3.983883857727051,-0.1763617992401123,3.755863666534424
T1,1280,7,3,3.3257901668548584,3.7066988945007324,3.4044957160949707,3.7650952339172363,-0.3605995178222656,-0.8027335405349731
T1,1280,8,3,4.155214786529541,4.2236456871032715,4.20090913772583,4.236364364624023,-0.03545522689819336,0.805677056312561
T1,1280,9,3,3.110732078552246,3.6212868690490723,2.984222650527954,3.492593765258789,-0.508371114730835,-1.8494058847427368
T1,1300,1,1,4.845096111297607,4.881516933441162,4.811974048614502,4.852672576904297,-0.04069852828979492,8.029853820800781
T1,1300,2,1,4.652660846710205,4.650997638702393,4.596436500549316,4.594776630401611,0.0016598701477050781,-0.14939260482788086
T1,1300,3,1,5.472854137420654,5.553368091583252,5.494472980499268,5.578457355499268,-0.083984375,11.104242324829102
T1,1300,4,2,3.4358785152435303,3.580104351043701,3.448976993560791,3.594045400619507,-0.14506840705871582,7.446970462799072
T1,1300,5,2,3.306325912475586,3.3207790851593018,3.32682466506958,3.3386423587799072,-0.011817693710327148,-0.930351734161377
T1,1300,6,2,4.105992794036865,3.747152328491211,4.072567462921143,3.739436149597168,0.3331313133239746,3.755863666534424
T1,1300,7,3,3.173151731491089,3.107095956802368,3.1507461071014404,3.1007022857666016,0.05004382133483887,-0.8027335405349731
T1,1300,8,3,4.09219217300415,4.172646522521973,4.068201065063477,4.184120178222656,-0.11591911315917969,0.805677056312561
T1,1300,9,3,3.711148738861084,4.119678974151611,3.7347147464752197,4.155750274658203,-0.4210355281829834,-1.8494058847427368
T1,1320,1,1,5.1184797286987305,5.138172149658203,5.116701126098633,5.128981113433838,-0.012279987335205078,8.029853820800781
T1,1320,2,1,4.62144660949707,4.620087623596191,4.6491169929504395,4.647600173950195,0.0015168190002441406,-0.14939260482788086
T1,1320,3,1,5.456149578094482,5.549540996551514,5.480529308319092,5.572458744049072,-0.09192943572998047,11.104242324829102
T1,1320,4,2,3.4537415504455566,3.5378611087799072,3.453169345855713,3.5103378295898438,-0.05716848373413086,7.446970462799072
T1,1320,5,2,3.0528550148010254,3.0467209815979004,3.0380868911743164,3.0268235206604004,0.011263370513916016,-0.930351734161377
T1,1320,6,2,3.9594976902008057,3.6371631622314453,4.016890525817871,3.6641221046447754,0.3527684211730957,3.755863666534424
T1,1320,7,3,3.4211952686309814,3.4020533561706543,3.398284435272217,3.382725715637207,0.015558719635009766,-0.8027335405349731
T1,1320,8,3,3.60398530960083,3.62764835357666,3.6326258182525635,3.6378509998321533,-0.005225181579589844,0.805677056312561
T1,1320,9,3,3.1520771980285645,3.1824240684509277,3.161982536315918,3.181662082672119,-0.019679546356201172,-1.8494058847427368
T1,1340,1,1,5.324297904968262,5.403262138366699,5.346829891204834,5.428195476531982,-0.08136558532714844,8.029853820800781
T1,1340,2,1,4.597225666046143,4.598190784454346,4.564153671264648,4.56484317779541,-0.0006895065307617188,-0.14939260482788086
T1,1340,3,1,5.221019744873047,5.297518730163574,5.221187114715576,5.306845188140869,-0.08565807342529297,11.104242324829102
