family,time_s,arm,maximum_relative_error
T2,540,MPC,8.083948661390419e-08
T2,540,NOYAW,8.03348357558572e-08
T2,560,MPC,1.0926425420306213e-07
T2,560,NOYAW,6.884901531998442e-08
T2,580,MPC,9.643501797862329e-08
T2,580,NOYAW,7.474018370403381e-08
T2,600,MPC,6.664811590963306e-08
T2,600,NOYAW,6.953081166738179e-08
T2,620,MPC,5.2823701215809236e-08
T2,620,NOYAW,7.429574810854745e-08
T2,640,MPC,9.714110425549014e-08
T2,640,NOYAW,1.2309289969271832e-07
T2,660,MPC,5.3834115081620635e-08
T2,660,NOYAW,7.564614463893288e-08
T2,680,MPC,1.1355859173114354e-07
T2,680,NOYAW,7.44457984416987e-08
T2,700,MPC,1.016845599370075e-07
T2,700,NOYAW,1.1404952200239335e-07
T2,720,MPC,5.8021909299095264e-08
T2,720,NOYAW,7.817999130882485e-08
T2,740,MPC,1.1083541050255799e-07
T2,740,NOYAW,3.78161200518482e-08
T2,760,MPC,7.846423382811417e-08
T2,760,NOYAW,7.42677446647637e-08
T2,780,MPC,1.0433931965021892e-07
T2,780,NOYAW,9.766703607355116e-08
T2,800,MPC,1.3794903387484485e-07
T2,800,NOYAW,8.33877718067614e-08
T2,820,MPC,6.998888822067603e-08
T2,820,NOYAW,6.104967107313831e-08
T2,840,MPC,9.883595968630055e-08
T2,840,NOYAW,5.498916535372055e-08
T2,860,MPC,7.84530905432755e-08
T2,860,NOYAW,6.8908987245297e-08
T2,880,MPC,6.676390959976283e-08
T2,880,NOYAW,5.7046895022414197e-08
T2,900,MPC,7.236710910908303e-08
T2,900,NOYAW,1.0536268648387071e-07
T2,920,MPC,7.141137172465028e-08
T2,920,NOYAW,9.799380630987694e-08
T2,940,MPC,5.629246240863984e-08
T2,940,NOYAW,7.087805235339507e-08
T2,960,MPC,1.105124786542754e-07
T2,960,NOYAW,6.486030470318034e-08
T2,980,MPC,7.924892744611895e-08
T2,980,NOYAW,9.606376437053518e-08
T2,1000,MPC,7.948771478128496e-08
T2,1000,NOYAW,7.683039289805936e-08
T2,1020,MPC,7.362879334180872e-08
T2,1020,NOYAW,6.078225522215858e-08
T2,1040,MPC,6.195709823506716e-08
T2,1040,NOYAW,9.046683747031039e-08
T2,1060,MPC,6.260146845101112e-08
T2,1060,NOYAW,9.454458312903914e-08
T2,1080,MPC,7.750949027293106e-08
T2,1080,NOYAW,9.469877412718088e-08
T2,1100,MPC,7.803676001250133e-08
T2,1100,NOYAW,6.14528926131054e-08
T2,1120,MPC,8.181515915536973e-08
T2,1120,NOYAW,1.3085116828864094e-07
T2,1140,MPC,4.851407023312149e-08
T2,1140,NOYAW,1.0535335898609524e-07
T2,1160,MPC,4.9471858236683136e-08
T2,1160,NOYAW,8.95748881320801e-08
T2,1180,MPC,7.689015977779232e-08
T2,1180,NOYAW,9.477298184847539e-08
T2,1200,MPC,8.562973296200139e-08
T2,1200,NOYAW,9.022898705250973e-08
T2,1220,MPC,6.312562335403293e-08
T2,1220,NOYAW,1.0505225618936215e-07
T2,1240,MPC,6.755300855268272e-08
T2,1240,NOYAW,5.2927951342445e-08
T2,1260,MPC,7.980909878333127e-08
T2,1260,NOYAW,9.071512740045345e-08
T2,1280,MPC,9.186951758443654e-08
T2,1280,NOYAW,9.091105226269746e-08
T2,1300,MPC,7.594197177399463e-08
T2,1300,NOYAW,1.0228240808061858e-07
T2,1320,MPC,9.343949184425667e-08
T2,1320,NOYAW,5.0219739580013184e-08
T2,1340,MPC,9.465314777575532e-08
T2,1340,NOYAW,1.35547585329455e-07
T2,1360,MPC,1.0980919155786076e-07
T2,1360,NOYAW,7.555306265612261e-08
T2,1380,MPC,8.754321069120572e-08
T2,1380,NOYAW,8.453082718986434e-08
T2,1400,MPC,7.387775080979944e-08
T2,1400,NOYAW,8.955315090344075e-08
T2,1420,MPC,1.1907532012034976e-07
T2,1420,NOYAW,9.262803329328822e-08
T2,1440,MPC,1.1835287282334346e-07
T2,1440,NOYAW,1.0978139373941192e-07
T2,1460,MPC,1.3466067615864152e-07
T2,1460,NOYAW,9.290328669570265e-08
T2,1480,MPC,9.126876880917968e-08
T2,1480,NOYAW,7.940052564510344e-08
T2,1500,MPC,7.341091303165284e-08
T2,1500,NOYAW,3.385405362140871e-08
T2,1520,MPC,7.350901310059056e-08
T2,1520,NOYAW,8.933203287520004e-08
T2,1540,MPC,7.935743828453252e-08
T2,1540,NOYAW,6.164725330709207e-08
T2,1560,MPC,7.668344806193434e-08
T2,1560,NOYAW,1.1524210611325854e-07
T2,1580,MPC,6.87369418875356e-08
T2,1580,NOYAW,1.2267469987785605e-07
T2,1600,MPC,7.890933526081535e-08
T2,1600,NOYAW,1.1359173140870911e-07
T2,1620,MPC,1.0136853256252605e-07
T2,1620,NOYAW,7.915173447672515e-08
T2,1640,MPC,8.981699367243954e-08
T2,1640,NOYAW,9.176891659237493e-08
T2,1660,MPC,8.900290714339655e-08
T2,1660,NOYAW,8.851455811904415e-08
T2,1680,MPC,8.888539565310458e-08
T2,1680,NOYAW,1.0977970464973198e-07
