family,arm,case,time_s,net_difference_kwh
T2,MPC,dir_p2,640,-0.4936327714903088
T2,MPC,dir_p2,660,1.4658988517735798
T2,MPC,dir_p2,680,3.295916230245803
T2,MPC,dir_p2,700,4.21755925802358
T2,MPC,dir_p2,720,3.0054059559402466
T2,MPC,dir_p2,740,3.333782889968024
T2,MPC,dir_p2,760,4.720825254551358
T2,MPC,dir_p2,780,6.32369207052358
T2,MPC,dir_p2,800,8.034385241918777
T2,MPC,dir_p2,820,9.892004478029888
T2,MPC,dir_p2,840,11.748757790529886
T2,MPC,dir_p2,860,11.740394998863222
T2,MPC,dir_p2,880,11.31614743636322
T2,MPC,dir_p2,900,11.564999925946553
T2,MPC,dir_p2,920,11.33156115511322
T2,MPC,dir_p2,940,10.153711294002111
T2,MPC,dir_p2,960,9.991787221085444
T2,MPC,dir_p2,980,9.26183359261322
T2,MPC,dir_p2,1000,8.707983017163595
T2,MPC,dir_p2,1020,9.049245406052485
T2,MPC,dir_p2,1040,8.855663395635816
T2,MPC,dir_p2,1060,6.85167771160804
T2,MPC,dir_p2,1080,3.362774985913595
T2,MPC,dir_p2,1100,3.0593523748024847
T2,MPC,dir_p2,1120,4.2319193991080395
T2,MPC,dir_p2,1140,5.313962277580262
T2,MPC,dir_p2,1160,6.092656079663596
T2,MPC,dir_p2,1180,5.81888683660804
T2,MPC,dir_p2,1200,4.393688742545659
T2,MPC,dir_p2,1220,3.1506020203234364
T2,MPC,dir_p2,1240,3.0599193744901036
T2,MPC,dir_p2,1260,2.495791784212325
T2,MPC,dir_p2,1280,2.271766936990103
T2,MPC,dir_p2,1300,2.4602257703234365
T2,MPC,dir_p2,1320,2.749616471712325
T2,MPC,dir_p2,1340,4.048311145323436
T2,MPC,dir_p2,1360,5.539534002962326
T2,MPC,dir_p2,1380,6.347147166156769
T2,MPC,dir_p2,1400,5.807837795496625
T2,MPC,dir_p2,1420,5.985560963899402
T2,MPC,dir_p2,1440,6.358001168760512
T2,MPC,dir_p2,1460,6.55006108542718
T2,MPC,dir_p2,1480,6.4011958493160686
T2,MPC,dir_p2,1500,6.637959901399401
T2,MPC,dir_p2,1520,6.694726982996623
T2,MPC,dir_p2,1540,7.50991932153829
T2,MPC,dir_p2,1560,7.710601144454958
T2,MPC,dir_p2,1580,7.090438936121623
T2,MPC,dir_p2,1600,6.055334134401958
T2,MPC,dir_p2,1620,6.652145762874179
T2,MPC,dir_p2,1640,7.254957530235291
T2,MPC,dir_p2,1660,6.138373108360291
T2,MPC,dir_p2,1680,5.369874196901959
T2,MPC,dir_p2,1700,5.172481828846401
T2,MPC,dir_p2,1720,6.278731408707513
T2,MPC,dir_p2,1740,5.4839988010686245
T2,MPC,dir_p2,1760,4.959867754193624
T2,MPC,dir_p2,1780,5.567642979888069
T2,MPC,dir_p2,1800,4.920728625765907
T2,MPC,dir_p2,1820,4.423103160488129
T2,MPC,dir_p2,1840,2.1643108827103514
T2,MPC,dir_p2,1860,2.679984844515907
T2,MPC,dir_p2,1880,3.863482452154795
T2,MPC,dir_p2,1900,3.85104887923813
T2,MPC,dir_p2,1920,2.581391828890906
T2,MPC,dir_p2,1940,0.9415478965992401
T2,MPC,dir_p2,1960,-0.5893132474979819
T2,MPC,dir_p2,1980,-2.51251955652576
T2,MPC,dir_p2,2000,-5.629631016595205
T2,MPC,dir_p2,2020,-5.221666924581315
T2,MPC,dir_p2,2040,-5.920388816942427
T2,MPC,dir_p2,2060,-4.9663800461090934
T2,MPC,dir_p2,2080,-5.78191891590076
T2,MPC,dir_p2,2100,-5.840618808261871
T2,MPC,dir_p2,2120,-3.415197429789649
T2,MPC,dir_p2,2140,-1.4336181936785382
T2,MPC,dir_p2,2160,0.7664063566686847
