family,forecast_level,arm,time_s,cumulative_net_difference_kwh
T1,ideal,lookup,1800,123.6429114629703
T1,ideal,lookup,1820,124.11997836748421
T1,ideal,lookup,1840,124.12279875463697
T1,ideal,lookup,1860,122.63973345428977
T1,ideal,lookup,1880,121.22136103501893
T1,ideal,lookup,1900,121.17904636140781
T1,ideal,lookup,1920,122.02926435099116
T1,ideal,lookup,1940,123.07209473553975
T1,ideal,lookup,1960,121.84796195255366
T1,ideal,lookup,1980,120.37293670081755
T1,ideal,lookup,2000,118.91988657928977
T1,ideal,lookup,2020,118.98602804630366
T1,ideal,lookup,2040,117.77136477894253
T1,ideal,lookup,2060,118.24732235706753
T1,ideal,lookup,2080,118.23524656540087
T1,ideal,lookup,2100,118.55614843258837
T1,ideal,lookup,2120,118.66941445776197
T1,ideal,lookup,2140,119.00693195602588
T1,ideal,lookup,2160,121.14922624422032
T1,ideal,lookup,2180,123.31197015741476
T1,ideal,lookup,2200,125.45806256192864
T1,ideal,lookup,2220,127.49711800290089
T1,ideal,lookup,2240,130.40223825550504
T1,ideal,lookup,2260,134.16777760619948
T1,ideal,lookup,2280,134.47741652286615
T1,causal,MPC,0,0.0
T1,causal,MPC,20,0.0
T1,causal,MPC,40,0.0
T1,causal,MPC,60,0.0
T1,causal,MPC,80,0.0
T1,causal,MPC,100,0.0
T1,causal,MPC,120,0.0
T1,causal,MPC,140,0.0
T1,causal,MPC,160,0.0
T1,causal,MPC,180,0.0
T1,causal,MPC,200,-0.7695259258057806
T1,causal,MPC,220,-0.9961249553196695
T1,causal,MPC,240,-1.3184940785835584
T1,causal,MPC,260,-1.6261107174724474
T1,causal,MPC,280,-1.6840938337918918
T1,causal,MPC,300,-1.7852953424724474
T1,causal,MPC,320,-1.8912558129585584
T1,causal,MPC,340,-1.9425898754585584
T1,causal,MPC,360,-1.8364507157363361
T1,causal,MPC,380,-1.721647741778003
T1,causal,MPC,400,-3.000405464102533
T1,causal,MPC,420,-3.6343201377136443
T1,causal,MPC,440,-4.503799070005311
T1,causal,MPC,460,-6.123642566533088
T1,causal,MPC,480,-6.885072580421978
T1,causal,MPC,500,-7.8452196151442
T1,causal,MPC,520,-9.320495726255311
T1,causal,MPC,540,-9.97127869500531
T1,causal,MPC,560,-11.16292784778309
T1,causal,MPC,580,-10.0597993026442
T1,causal,MPC,600,-9.820277694897333
T1,causal,MPC,620,-8.972688215730667
T1,causal,MPC,640,-8.594769253925111
T1,causal,MPC,660,-6.513615802536222
T1,causal,MPC,680,-5.919864219202889
T1,causal,MPC,700,-5.826630795591779
T1,causal,MPC,720,-6.6864473685084445
T1,causal,MPC,740,-5.145067746980667
T1,causal,MPC,760,-4.437831684480667
T1,causal,MPC,780,-5.136658833786223
T1,causal,MPC,800,-6.804999877539741
T1,causal,MPC,820,-7.131538346289741
T1,causal,MPC,840,-8.226276929623074
T1,causal,MPC,860,-8.324145974761961
T1,causal,MPC,880,-7.95931359628974
T1,causal,MPC,900,-9.758569957400852
T1,causal,MPC,920,-9.117146106706407
T1,causal,MPC,940,-10.90677886017863
T1,causal,MPC,960,-11.024619575456407
T1,causal,MPC,980,-10.367279103234186
T1,causal,MPC,1000,-11.139027564154308
T1,causal,MPC,1020,-9.769668515543197
T1,causal,MPC,1040,-10.00477634887653
T1,causal,MPC,1060,-9.758373213459862
T1,causal,MPC,1080,-11.825188619709863
T1,causal,MPC,1100,-12.698262171793196
T1,causal,MPC,1120,-11.815025748182086
T1,causal,MPC,1140,-11.79261447387653
T1,causal,MPC,1160,-11.405613918320974
T1,causal,MPC,1180,-10.977520640543196
T1,causal,MPC,1200,-11.371626891495652
T1,causal,MPC,1220,-11.682841976565097
T1,causal,MPC,1240,-11.89532121614843
T1,causal,MPC,1260,-12.183004636287318
T1,causal,MPC,1280,-12.428339618926207
T1,causal,MPC,1300,-13.153634439238708
T1,causal,MPC,1320,-14.147128328127597
T1,causal,MPC,1340,-14.723255561634542
T1,causal,MPC,1360,-15.749737969620654
T1,causal,MPC,1380,-17.072467440106763
T1,causal,MPC,1400,-17.543378509482913
T1,causal,MPC,1420,-17.101537228232914
T1,causal,MPC,1440,-17.711603026844024
T1,causal,MPC,1460,-18.883825722156523
T1,causal,MPC,1480,-20.084156774239858
T1,causal,MPC,1500,-20.83109408673986
T1,causal,MPC,1520,-21.75605782719125
T1,causal,MPC,1540,-21.28970820392736
T1,causal,MPC,1560,-21.64831612580236
T1,causal,MPC,1580,-22.66246436191347
T1,causal,MPC,1600,-23.88058583466986
T1,causal,MPC,1620,-24.010073015225412
T1,causal,MPC,1640,-24.304617659322634
T1,causal,MPC,1660,-24.992867673211524
T1,causal,MPC,1680,-25.57145085029486
T1,causal,MPC,1700,-25.760169093350413
T1,causal,MPC,1720,-25.798678615919858
T1,causal,MPC,1740,-24.972813080329576
T1,causal,MPC,1760,-24.239432736579577
T1,causal,MPC,1780,-24.182201198385137
T1,causal,MPC,1800,-25.17773130115239
T1,causal,MPC,1820,-25.202409992124615
T1,causal,MPC,1840,-25.520734606707947
T1,causal,MPC,1860,-25.544570899242668
T1,causal,MPC,1880,-25.39753628986767
T1,causal,MPC,1900,-24.767541987784334
T1,causal,MPC,1920,-25.215586317645446
T1,causal,MPC,1940,-23.926247261221835
T1,causal,MPC,1960,-23.322836337610724
T1,causal,MPC,1980,-22.76465133240239
T1,causal,MPC,2000,-21.126588853235724
T1,causal,MPC,2020,-19.004365290735723
T1,causal,MPC,2040,-18.245645002541277
T1,causal,MPC,2060,-18.277993229971834
T1,causal,MPC,2080,-18.49198876643017
T1,causal,MPC,2100,-16.988692475631556
T1,causal,MPC,2120,-15.477766821985721
T1,causal,MPC,2140,-16.512770745596836
T1,causal,MPC,2160,-17.784854750805167
T1,causal,MPC,2180,-17.9710488497635
T1,causal,MPC,2200,-18.80580140011072
T1,causal,MPC,2220,-20.402332866256558
T1,causal,MPC,2240,-21.13331694524961
T1,causal,MPC,2260,-22.375471856707946
T1,causal,MPC,2280,-24.429514045944057
T1,causal,lookup,0,0.0
T1,causal,lookup,20,0.0
T1,causal,lookup,40,0.0
T1,causal,lookup,60,0.0
T1,causal,lookup,80,0.0
T1,causal,lookup,100,0.0
T1,causal,lookup,120,0.0
T1,causal,lookup,140,0.0
T1,causal,lookup,160,0.0
T1,causal,lookup,180,0.0
T1,causal,lookup,200,-1.1711029778408475
T1,causal,lookup,220,-2.9040835175001356
T1,causal,lookup,240,-5.098587229166666
T1,causal,lookup,260,-7.200640215277779
T1,causal,lookup,280,-10.009093302083334
T1,causal,lookup,300,-12.267763097222222
T1,causal,lookup,320,-15.012256359375002
T1,causal,lookup,340,-17.305623949652777
T1,causal,lookup,360,-18.776410524305557
T1,causal,lookup,380,-20.344048309027777
T1,causal,lookup,400,-20.263008375000002
T1,causal,lookup,420,-20.36206769097222
T1,causal,lookup,440,-19.017351869791668
T1,causal,lookup,460,-15.642809147569446
T1,causal,lookup,480,-12.460921522569445
T1,causal,lookup,500,-10.670004473958334
T1,causal,lookup,520,-5.501255477430556
T1,causal,lookup,540,-3.9723809635416667
T1,causal,lookup,560,-1.0035839739583332
T1,causal,lookup,580,-3.3949756927083334
T1,causal,lookup,600,-6.193036362847222
T1,causal,lookup,620,2.6901970225694445
T1,causal,lookup,640,13.09682718576389
T1,causal,lookup,660,15.508509258680558
T1,causal,lookup,680,17.889838557291668
T1,causal,lookup,700,23.239719730902777
T1,causal,lookup,720,24.421812657986113
T1,causal,lookup,740,27.73822806076389
T1,causal,lookup,760,32.95708319270833
T1,causal,lookup,780,37.862959682291674
T1,causal,lookup,800,40.97925906076389
T1,causal,lookup,820,47.298807234375005
T1,causal,lookup,840,53.477400744791666
T1,causal,lookup,860,63.62680235243056
T1,causal,lookup,880,67.12905831423612
T1,causal,lookup,900,69.28838934548611
T1,causal,lookup,920,73.73598373090279
T1,causal,lookup,940,74.07672129340278
T1,causal,lookup,960,78.28565362152779
T1,causal,lookup,980,79.95138528125
T1,causal,lookup,1000,78.74006667708333
T1,causal,lookup,1020,76.87832595833333
T1,causal,lookup,1040,76.30795489409724
T1,causal,lookup,1060,83.82584285590278
T1,causal,lookup,1080,92.64729249479169
T1,causal,lookup,1100,95.28999705729167
T1,causal,lookup,1120,98.20499259548612
T1,causal,lookup,1140,95.77556828298611
T1,causal,lookup,1160,96.72867048437502
T1,causal,lookup,1180,100.20317765104168
T1,causal,lookup,1200,103.94168111284723
T1,causal,lookup,1220,105.16365401909722
T1,causal,lookup,1240,104.41390682118056
T1,causal,lookup,1260,104.38709074131945
T1,causal,lookup,1280,104.54686045225695
T1,causal,lookup,1300,101.79692002690973
T1,causal,lookup,1320,101.57187352604167
T1,causal,lookup,1340,102.51026589930557
T1,causal,lookup,1360,104.2008291076389
T1,causal,lookup,1380,102.52228367534724
T1,causal,lookup,1400,101.11070006163195
T1,causal,lookup,1420,100.72163116927084
T1,causal,lookup,1440,100.75169804947917
T1,causal,lookup,1460,102.04052984809027
T1,causal,lookup,1480,103.84427886024307
T1,causal,lookup,1500,104.90007569704862
T1,causal,lookup,1520,105.98216962413196
T1,causal,lookup,1540,107.63544805468752
T1,causal,lookup,1560,107.12773277517361
T1,causal,lookup,1580,108.3891823810764
T1,causal,lookup,1600,108.35856234288195
T1,causal,lookup,1620,107.8147113671875
T1,causal,lookup,1640,110.58282220225695
T1,causal,lookup,1660,113.48756820399306
T1,causal,lookup,1680,117.25362063628474
T1,causal,lookup,1700,117.34280244184029
T1,causal,lookup,1720,118.55812682899307
T1,causal,lookup,1740,119.6383325138889
T1,causal,lookup,1760,123.1994592951389
T1,causal,lookup,1780,125.45321766059028
T1,causal,lookup,1800,123.64128874739583
T1,causal,lookup,1820,124.11833238454862
T1,causal,lookup,1840,124.12112837413196
T1,causal,lookup,1860,122.63810107378472
T1,causal,lookup,1880,121.2197360295139
T1,causal,lookup,1900,121.17751484201389
T1,causal,lookup,1920,122.02766963194445
T1,causal,lookup,1940,123.07040084635416
T1,causal,lookup,1960,121.84627127170138
T1,causal,lookup,1980,120.37121526128473
T1,causal,lookup,2000,118.9181505078125
T1,causal,lookup,2020,118.98426643489584
T1,causal,lookup,2040,117.76960646440973
T1,causal,lookup,2060,118.24556467447917
T1,causal,lookup,2080,118.2334908046875
T1,causal,lookup,2100,118.55442030555557
T1,causal,lookup,2120,118.66765701822916
T1,causal,lookup,2140,119.00510329253473
T1,causal,lookup,2160,121.14732274739583
T1,causal,lookup,2180,123.31005407204862
T1,causal,lookup,2200,125.45619275260417
T1,causal,lookup,2220,127.49532748003472
T1,causal,lookup,2240,130.40049288368056
T1,causal,lookup,2260,134.16602966145834
T1,causal,lookup,2280,134.4756960642361
T2,ideal,MPC,0,0.0
T2,ideal,MPC,20,0.0
T2,ideal,MPC,40,0.0
T2,ideal,MPC,60,0.0
T2,ideal,MPC,80,0.0
T2,ideal,MPC,100,0.0
T2,ideal,MPC,120,0.0
T2,ideal,MPC,140,0.0
T2,ideal,MPC,160,0.0
T2,ideal,MPC,180,0.0
T2,ideal,MPC,200,-0.2868914946831597
T2,ideal,MPC,220,-0.43604560926649305
T2,ideal,MPC,240,-0.4039255901692708
T2,ideal,MPC,260,-0.3585681908637153
T2,ideal,MPC,280,-0.38336657628038195
T2,ideal,MPC,300,-0.44529521516927084
T2,ideal,MPC,320,-0.5725059564887153
T2,ideal,MPC,340,-0.5023812828776042
T2,ideal,MPC,360,-0.4161946474609375
T2,ideal,MPC,380,-0.2926572724609375
T2,ideal,MPC,400,-0.8390201889311473
T2,ideal,MPC,420,-1.0861949424033694
T2,ideal,MPC,440,-0.7136928278200362
T2,ideal,MPC,460,-0.8325430778200362
T2,ideal,MPC,480,-0.652829121222814
T2,ideal,MPC,500,-0.5234864510839251
T2,ideal,MPC,520,-0.4540145778200362
T2,ideal,MPC,540,-0.015608293097814085
T2,ideal,MPC,560,0.31557565134663057
T2,ideal,MPC,580,0.23332755933274174
T2,ideal,MPC,600,-1.1456886514960396
T2,ideal,MPC,620,-1.661975003926595
T2,ideal,MPC,640,-1.9595368389960395
T2,ideal,MPC,660,-0.7415736341349284
T2,ideal,MPC,680,0.10388221829562738
T2,ideal,MPC,700,1.0210172078789603
T2,ideal,MPC,720,2.6650994509345165
T2,ideal,MPC,740,3.685051079406738
T2,ideal,MPC,760,4.837689548156739
T2,ideal,MPC,780,5.847482357184516
T2,ideal,MPC,800,6.832068418036991
T2,ideal,MPC,820,7.75246657428699
T2,ideal,MPC,840,8.81999643192588
T2,ideal,MPC,860,9.588067577759213
T2,ideal,MPC,880,9.914037553453658
T2,ideal,MPC,900,10.83974602567588
T2,ideal,MPC,920,11.277409296509214
T2,ideal,MPC,940,12.50570146317588
T2,ideal,MPC,960,13.643775452759215
T2,ideal,MPC,980,14.7559410916481
T2,ideal,MPC,1000,16.012369229151837
T2,ideal,MPC,1020,16.954885795124056
T2,ideal,MPC,1040,17.07532369095739
T2,ideal,MPC,1060,17.40742798262405
T2,ideal,MPC,1080,18.172736451374057
T2,ideal,MPC,1100,19.229224572901835
T2,ideal,MPC,1120,20.399685506929607
T2,ideal,MPC,1140,21.48988376040183
T2,ideal,MPC,1160,22.184951784707394
T2,ideal,MPC,1180,22.30284838540183
T2,ideal,MPC,1200,20.88898604424964
T2,ideal,MPC,1220,20.6489012248052
T2,ideal,MPC,1240,21.49616843313853
T2,ideal,MPC,1260,21.239317863694083
T2,ideal,MPC,1280,21.23725642966631
T2,ideal,MPC,1300,21.452725776888528
T2,ideal,MPC,1320,22.374338575499642
T2,ideal,MPC,1340,24.13552266924964
T2,ideal,MPC,1360,26.11078138452742
T2,ideal,MPC,1380,27.566233495638535
T2,ideal,MPC,1400,27.642892961890333
T2,ideal,MPC,1420,28.545053831681997
T2,ideal,MPC,1440,29.190834158070885
T2,ideal,MPC,1460,30.112465533070882
T2,ideal,MPC,1480,30.55389083515422
T2,ideal,MPC,1500,31.215685368140328
